className,amplifiedClass,targets,mutationScoreBefore,mutationScoreAfter,mutationImprove,numberOfOriginalTestMethods,targetLoc,testLoc,testAmpLoc,n_amplifiedMethods,n_notCoveredInOriginal,n_newCovered,n_notCoveredInAmplified,n_methodsNotProfiled,timeTotal,max_number_of_changes,numberOfProcessedMethods,testClassTimeToRunInMillis,numberOfAllMutationsInOriginal,numberOfTestMethodsBeforeShreding,timeBudgetFinished,duplicateMutants
BaseIdTest,BaseIdTest33,BaseId,80.00,100.00,20.00,6,32,43,30,2,2,2,0,2,155,1,6,1,10,6,False,0
CommandBlockMorphTest,CommandBlockMorphTest12,CommandBlockMorph,27.33,30.63,3.30,12,465,162,56,1,242,11,231,10,830,1,5,31,333,12,True,0
LazyArrayTest16To30,LazyArrayTest77,LazyArray,68.10,72.39,4.29,15,179,159,79,5,52,7,45,6,743,2,15,2,163,31,True,0
LazyArrayTest1To15,LazyArrayTest78,LazyArray,68.10,71.17,3.07,15,179,154,47,3,52,5,47,4,650,2,15,2,163,31,False,0
ObjStreamTest,ObjStreamTest17,ObjStream,74.06,74.40,0.34,3,660,105,13,1,76,1,75,4,239,0,3,29,293,3,False,0
SColorListTest,SColorListTest8,SColorList,45.38,47.06,1.68,1,277,23,61,1,65,2,63,5,18,0,1,1,119,1,False,0
SDisplayTest16To18,SDisplayTest9,SDisplay,39.39,39.39,0.00,3,127,35,0,0,40,0,40,14,723,0,3,3,66,18,True,0
SDisplayTest1To15,SDisplayTest5,SDisplay,39.39,39.39,0.00,15,127,126,0,0,40,0,40,9,723,0,2,11,66,18,True,0
SMicroWorldTest16To20,SMicroWorldTest28,SMicroWorld,29.81,41.35,11.54,5,311,51,175,8,73,12,61,40,156,2,5,5,104,20,False,0
SMicroWorldTest1To15,SMicroWorldTest78,SMicroWorld,29.81,42.31,12.50,15,311,230,317,11,73,13,60,31,737,3,15,12,104,20,False,0
SNativeDiffuserTest16To21,SNativeDiffuserTest33,SNativeDiffuser,97.00,98.00,1.00,6,209,88,13,1,3,1,2,9,41,0,6,2,100,21,False,0
SNativeDiffuserTest1To15,SNativeDiffuserTest78,SNativeDiffuser,97.00,98.00,1.00,15,209,240,16,1,3,1,2,3,149,0,15,3,100,21,False,0
SObserverTest,SObserverTest14,SObserver,5.88,5.88,0.00,4,68,35,0,0,48,0,48,8,42,0,4,2,51,4,False,0
SPatchesTest16To30,SPatchesTest78,SPatches,87.80,96.34,8.54,15,156,254,148,4,10,7,3,11,349,3,15,13,82,31,False,0
SPatchesTest1To15,SPatchesTest78,SPatches,87.80,91.46,3.66,15,156,251,46,2,10,3,7,12,433,1,15,14,82,31,False,0
SProcessTest16To18,SProcessTest18,SProcess,71.79,74.36,2.56,3,94,47,15,1,11,1,10,3,19,1,3,3,39,18,False,0
SProcessTest1To15,SProcessTest78,SProcess,71.79,74.36,2.56,15,94,157,19,1,11,1,10,0,161,1,15,6,39,18,False,0
ScratchBlockDefTest16To17,ScratchBlockDefTest13,ScratchBlockDef,85.37,85.37,0.00,2,67,32,0,0,6,0,6,4,5,0,2,1,41,17,False,0
ScratchBlockDefTest1To15,ScratchBlockDefTest78,ScratchBlockDef,85.37,85.37,0.00,15,67,138,0,0,6,0,6,2,81,0,15,2,41,17,False,0
ScratchBytecodeTest,ScratchBytecodeTest33,ScratchBytecode,55.56,55.56,0.00,6,23,36,0,0,4,0,4,0,12,0,6,2,9,6,False,0
ScratchBytecodeValueTest,ScratchBytecodeValueTest33,ScratchBytecodeValue,82.54,82.54,0.00,6,58,92,0,0,11,0,11,0,24,0,6,2,63,6,False,0
