className,amplifiedClass,targets,mutationScoreBefore,mutationScoreAfter,mutationImprove,numberOfOriginalTestMethods,targetLoc,testLoc,testAmpLoc,n_amplifiedMethods,n_notCoveredInOriginal,n_newCovered,n_notCoveredInAmplified,n_methodsNotProfiled,timeTotal,max_number_of_changes,numberOfProcessedMethods,testClassTimeToRunInMillis,numberOfAllMutationsInOriginal,numberOfTestMethodsBeforeShreding,timeBudgetFinished,duplicateMutants
BaseIdTest,BaseIdTest24,BaseId,80.00,100.00,20.00,6,32,43,28,2,2,2,0,2,69,1,2,1,10,6,False,0
BlockMorphTest,BlockMorphTest14,BlockMorph,4.80,4.80,0.00,5,649,75,0,0,595,0,595,40,746,0,1,2,625,5,True,0
CommandBlockMorphTest,CommandBlockMorphTest41,CommandBlockMorph,27.33,31.23,3.90,12,465,162,76,2,242,13,229,10,832,2,6,31,333,12,True,0
LazyArrayTest16To30,LazyArrayTest94,LazyArray,68.10,72.39,4.29,15,179,154,48,3,52,7,45,5,576,2,15,3,163,31,False,0
ObjStreamTest,ObjStreamTest22,ObjStream,74.06,74.40,0.34,3,660,105,13,1,76,1,75,4,229,0,3,28,293,3,False,0
SColorListTest,SColorListTest10,SColorList,45.38,47.06,1.68,1,277,23,61,1,65,2,63,5,15,0,1,1,119,1,False,0
SDisplayTest,SDisplayTest11,SDisplay,39.39,39.39,0.00,18,127,34,0,0,40,0,40,9,1477,0,1,4,66,18,True,0
SMicroWorldTest,SMicroWorldTest34,SMicroWorld,29.81,45.19,15.38,20,311,207,402,33,73,16,63,34,1313,3,5,9,104,20,False,9
SNativeDiffuserTest,SNativeDiffuserTest40,SNativeDiffuser,97.00,98.00,1.00,21,209,132,13,2,3,1,2,7,192,0,6,2,100,21,False,1
SObserverTest,SObserverTest21,SObserver,5.88,5.88,0.00,4,68,35,0,0,48,0,48,8,37,0,4,2,51,4,False,0
SPatchesTest,SPatchesTest94,SPatches,87.80,97.56,9.76,30,156,205,47,8,10,8,6,10,704,3,15,13,82,31,False,3
SProcessTest,SProcessTest22,SProcess,71.79,74.36,2.56,18,94,44,13,2,11,1,10,3,112,1,3,1,39,18,False,1
STurtlesTest16To26,STurtlesTest70,STurtles,86.67,91.11,4.44,11,110,118,12,1,6,2,4,3,396,0,11,4,45,26,False,0
ScratchBlockDefTest,ScratchBlockDefTest16,ScratchBlockDef,85.37,85.37,0.00,17,67,37,0,0,6,0,6,4,78,0,2,3,41,17,False,0
ScratchBytecodeGeneratorTest,ScratchBytecodeGeneratorTest68,ScratchBytecodeGenerator,66.67,66.67,0.00,47,181,226,0,0,21,0,21,21,425,0,15,3,63,47,False,0
ScratchBytecodeTest,ScratchBytecodeTest40,ScratchBytecode,55.56,55.56,0.00,6,23,36,0,0,4,0,4,0,11,0,6,2,9,6,False,0
ScratchBytecodeValueTest,ScratchBytecodeValueTest40,ScratchBytecodeValue,82.54,82.54,0.00,6,58,92,0,0,11,0,11,0,21,0,6,2,63,6,False,0
ScratchNativeThreadTest,ScratchNativeThreadTest94,ScratchNativeThread,82.14,97.62,15.48,48,321,187,71,5,15,13,3,4,770,2,15,3,84,63,False,3
ScratchPlotCommandTest,ScratchPlotCommandTest16,ScratchPlotCommand,12.00,44.00,32.00,2,33,16,64,3,22,8,14,2,5,1,2,1,25,2,False,0
ScratchPlotterMorphTest,ScratchPlotterMorphTest38,ScratchPlotterMorph,81.55,81.55,0.00,37,271,140,0,0,31,0,31,12,2245,0,2,2,168,37,True,0
ScratchSexpImporterTest,ScratchSexpImporterTest52,ScratchSexpImporter,13.51,13.51,0.00,8,193,59,0,0,96,0,96,12,50,0,8,3,111,8,False,0
ScratchStepperMorphTest,ScratchStepperMorphTest11,ScratchStepperMorph,50.00,50.00,0.00,2,13,10,0,0,2,0,2,1,614,0,2,1,4,2,False,0
SexpLexerTest,SexpLexerTest28,SexpLexer,94.12,94.12,0.00,4,31,50,0,0,1,0,1,1,215,0,4,2,17,4,False,0
SexpParserTest,SexpParserTest22,SexpParser,87.50,87.50,0.00,3,21,39,0,0,2,0,2,0,11,0,3,1,16,3,False,0
SteloBytecodeGeneratorTest,SteloBytecodeGeneratorTest74,SteloBytecodeGenerator,50.00,50.00,0.00,38,264,377,0,0,14,0,14,40,978,0,15,11,28,98,False,0
SteloNativeThreadTest,SteloNativeThreadTest85,SteloNativeThread,39.58,45.83,6.25,40,331,252,0,2,29,3,29,1,1861,3,13,9,48,100,True,0
SteloProcessTest,SteloProcessTest16,SteloProcess,50.00,50.00,0.00,2,14,12,0,0,1,0,1,1,3,0,2,1,2,2,False,0
StringArrayTest16To17,StringArrayTest16,StringArray,72.73,81.82,9.09,2,72,25,30,2,6,2,4,5,12,1,2,1,22,17,False,0
VarDefTest,VarDefTest88,VarDef,76.81,88.41,11.59,29,112,123,67,7,16,8,9,5,273,2,14,2,69,29,False,6
VariablesTest16To27,VariablesTest76,Variables,57.35,61.76,4.41,12,98,150,60,3,29,3,26,12,178,1,12,3,68,27,False,0
