className,amplifiedClass,targets,mutationScoreBefore,mutationScoreAfter,mutationImprove,numberOfOriginalTestMethods,targetLoc,testLoc,testAmpLoc,n_amplifiedMethods,n_notCoveredInOriginal,n_newCovered,n_notCoveredInAmplified,n_methodsNotProfiled,timeTotal,max_number_of_changes,numberOfProcessedMethods,testClassTimeToRunInMillis,numberOfAllMutationsInOriginal,numberOfTestMethodsBeforeShreding,timeBudgetFinished,duplicateMutants
PMAB2SolverTest,PMAB2SolverTest23,PMAB2Solver,54.55,54.55,0.00,4,74,37,0,0,20,0,20,0,18,0,4,2,44,4,False,0
PMAB2StepperTest,PMAB2StepperTest23,PMAB2Stepper,69.57,82.61,13.04,4,20,79,31,1,7,3,4,0,10,1,4,2,23,4,False,0
PMAB3SolverTest,PMAB3SolverTest23,PMAB3Solver,56.98,56.98,0.00,4,103,94,0,0,37,0,37,0,41,0,4,22,86,4,False,0
PMAB3StepperTest,PMAB3StepperTest23,PMAB3Stepper,86.49,94.59,8.11,4,21,72,39,1,5,3,2,0,11,1,4,2,37,4,False,0
PMAB4SolverTest,PMAB4SolverTest18,PMAB4Solver,69.44,69.44,0.00,3,148,97,0,0,33,0,33,0,30,0,3,21,108,3,False,0
PMAB4StepperTest,PMAB4StepperTest23,PMAB4Stepper,89.36,95.74,6.38,4,20,72,43,1,5,3,2,0,11,1,4,2,47,4,False,0
PMAM3SolverTest,PMAM3SolverTest18,PMAM3Solver,59.09,59.09,0.00,3,72,74,0,0,18,0,18,0,12,0,3,4,44,3,False,0
PMAM3StepperTest,PMAM3StepperTest28,PMAM3Stepper,97.14,97.14,0.00,5,52,94,0,0,2,0,2,0,13,0,5,5,70,5,False,0
PMAM4SolverTest,PMAM4SolverTest18,PMAM4Solver,63.41,63.41,0.00,3,102,74,0,0,30,0,30,0,19,0,3,5,82,3,False,0
PMAM4StepperTest,PMAM4StepperTest23,PMAM4Stepper,71.08,75.90,4.82,4,61,58,30,1,24,4,20,0,17,1,4,3,83,4,False,0
PMAccuracyTest,PMAccuracyTest44,PMAccuracy,81.32,84.44,3.11,24,416,118,45,5,48,8,40,37,1104,0,9,7,257,24,False,8
PMAnotherChromosomeManagerTest,PMAnotherChromosomeManagerTest58,PMAnotherChromosomeManager,66.67,87.80,21.14,11,181,176,41,2,41,26,15,0,196,2,11,6,123,11,False,0
PMAnotherGeneticOptimizerTest,PMAnotherGeneticOptimizerTest33,PMAnotherGeneticOptimizer,67.96,69.90,1.94,12,178,139,0,0,33,5,31,0,831,0,7,973,103,12,True,0
PMBDF2SolverTest,PMBDF2SolverTest23,PMBDF2Solver,60.47,86.05,25.58,4,72,77,65,2,17,11,6,0,67,3,4,2,43,4,False,0
PMBDF2StepperTest,PMBDF2StepperTest28,PMBDF2Stepper,94.44,94.44,0.00,5,15,94,0,0,1,0,1,0,24,0,5,105,18,5,False,0
PMBDF3SolverTest,PMBDF3SolverTest18,PMBDF3Solver,64.63,64.63,0.00,3,101,74,0,0,29,0,29,0,17,0,3,4,82,3,False,0
PMBDF3StepperTest,PMBDF3StepperTest23,PMBDF3Stepper,95.24,95.24,0.00,4,15,58,0,0,1,0,1,0,8,0,4,2,21,4,False,0
PMBDF4SolverTest,PMBDF4SolverTest18,PMBDF4Solver,64.71,64.71,0.00,3,148,82,0,0,36,0,36,0,23,0,3,4,102,3,False,0
PMBDF4StepperTest,PMBDF4StepperTest23,PMBDF4Stepper,95.83,95.83,0.00,4,17,80,0,0,1,0,1,0,9,0,4,2,24,4,False,0
