className,amplifiedClass,targets,mutationScoreBefore,mutationScoreAfter,mutationImprove,numberOfOriginalTestMethods,targetLoc,testLoc,testAmpLoc,n_amplifiedMethods,n_notCoveredInOriginal,n_newCovered,n_notCoveredInAmplified,n_methodsNotProfiled,timeTotal,max_number_of_changes,numberOfProcessedMethods,testClassTimeToRunInMillis,numberOfAllMutationsInOriginal,numberOfTestMethodsBeforeShreding,timeBudgetFinished,duplicateMutants
JQAjaxTest,JQAjaxTest80,JQAjax,60.00,60.00,0.00,50,240,74,0,0,32,0,32,16,1311,0,15,4,80,50,False,0
JQEffectTest,JQEffectTest22,JQEffect,87.50,87.50,0.00,6,156,128,0,0,4,0,4,17,468,0,6,4,32,6,False,0
JQueryClassTest,JQueryClassTest80,JQueryClass,78.38,78.38,0.00,30,113,72,0,0,8,0,8,8,171,0,15,3,37,30,False,0
JQueryInstanceTest,JQueryInstanceTest58,JQueryInstance,35.48,35.48,0.00,96,727,118,0,0,20,0,20,133,1945,0,15,3,31,96,False,0
JSDecorationTest,JSDecorationTest52,JSDecoration,33.33,33.33,0.00,23,10,55,0,0,2,0,2,2,97,0,8,2,3,23,False,0
JSScriptTest,JSScriptTest70,JSScript,57.14,57.14,0.00,15,41,92,0,0,3,0,3,1,61,0,15,3,7,15,False,0
JSStreamTest,JSStreamTest19,JSStream,50.00,50.00,0.00,18,189,16,0,0,12,0,12,10,143,0,3,2,24,18,False,0
WAAnchorTagTest,WAAnchorTagTest35,WAAnchorTag,66.67,66.67,0.00,8,78,107,0,0,4,0,4,7,26,0,8,3,12,8,False,0
WAApplicationTest1To4,WAApplicationTest100,WAApplication,37.04,62.96,25.93,16,106,77,56,4,17,7,10,8,143,2,16,5,27,4,False,0
WABidirectionalCacheTest,WABidirectionalCacheTest58,WABidirectionalCache,60.00,65.00,5.00,9,63,73,11,1,8,1,7,3,659,0,9,3,20,5,False,0
WABlockMimeDocumentTest,WABlockMimeDocumentTest40,WABlockMimeDocument,75.00,75.00,0.00,6,19,42,0,0,2,0,2,1,63,0,6,3,8,6,False,0
WAComboResponseTest1To3,WAComboResponseTest130,WAComboResponse,42.55,48.94,6.38,28,136,41,21,1,27,3,24,5,756,0,19,5,47,3,True,0
WAComponentTest,WAComponentTest77,WAComponent,51.22,57.32,6.10,15,238,316,46,2,40,5,35,40,763,0,11,3,82,15,True,0
WACookieForBrowserIPForCrawlerTrackingStrategyTest,WACookieForBrowserIPForCrawlerTrackingStrategyTest16,WACookieForBrowserIPForCrawlerTrackingStrategy,43.75,43.75,0.00,2,32,33,0,0,9,0,9,5,4,0,2,2,16,2,False,0
WACookieIfSupportedSessionTrackingStrategyTest,WACookieIfSupportedSessionTrackingStrategyTest88,WACookieIfSupportedSessionTrackingStrategy,0.00,0.00,0.00,14,24,16,0,0,15,0,15,0,50,0,14,4,15,2,False,0
WACookieOnlySessionTrackingStrategyTest,WACookieOnlySessionTrackingStrategyTest82,WACookieOnlySessionTrackingStrategy,0.00,0.00,0.00,13,14,8,0,0,6,0,6,0,45,0,13,8,6,1,False,0
WACookieTest1To15,WACookieTest94,WACookie,50.00,56.06,6.06,15,168,212,27,1,33,4,29,9,223,0,15,4,66,16,False,0
WACurrentRequestContextTest,WACurrentRequestContextTest16,WACurrentRequestContext,0.00,0.00,0.00,2,4,6,0,0,1,0,1,0,2,0,2,1,1,2,False,0
WADispatcherTest,WADispatcherTest88,WADispatcher,36.67,46.67,10.00,14,81,44,45,3,19,3,16,5,167,2,14,3,30,3,False,0
