className,amplifiedClass,targets,mutationScoreBefore,mutationScoreAfter,mutationImprove,numberOfOriginalTestMethods,targetLoc,testLoc,testAmpLoc,n_amplifiedMethods,n_notCoveredInOriginal,n_newCovered,n_notCoveredInAmplified,n_methodsNotProfiled,timeTotal,max_number_of_changes,numberOfProcessedMethods,testClassTimeToRunInMillis,numberOfAllMutationsInOriginal,numberOfTestMethodsBeforeShreding,timeBudgetFinished,duplicateMutants
JQAjaxTest16To30,JQAjaxTest44,JQAjax,60.00,60.00,0.00,15,240,95,0,0,32,0,32,20,390,0,15,4,80,50,False,0
JQAjaxTest1To15,JQAjaxTest41,JQAjax,60.00,60.00,0.00,15,240,88,0,0,32,0,32,17,384,0,15,5,80,50,False,0
JQAjaxTest31To45,JQAjaxTest41,JQAjax,60.00,60.00,0.00,15,240,102,0,0,32,0,32,17,337,0,15,4,80,50,False,0
JQAjaxTest46To50,JQAjaxTest19,JQAjax,60.00,60.00,0.00,5,240,37,0,0,32,0,32,22,106,0,5,2,80,50,False,0
JQEffectTest,JQEffectTest10,JQEffect,87.50,87.50,0.00,6,156,128,0,0,4,0,4,17,415,0,6,3,32,6,False,0
JQueryClassTest16To30,JQueryClassTest59,JQueryClass,78.38,78.38,0.00,15,113,72,0,0,8,0,8,8,43,0,15,4,37,30,False,0
JQueryClassTest1To15,JQueryClassTest50,JQueryClass,78.38,78.38,0.00,15,113,81,0,0,8,0,8,11,108,0,15,4,37,30,False,0
JQueryInstanceTest16To30,JQueryInstanceTest30,JQueryInstance,35.48,35.48,0.00,15,727,112,0,0,20,0,20,133,262,0,15,4,31,96,False,0
JQueryInstanceTest1To15,JQueryInstanceTest29,JQueryInstance,35.48,35.48,0.00,15,727,101,0,0,20,0,20,129,259,0,15,3,31,96,False,0
JQueryInstanceTest31To45,JQueryInstanceTest29,JQueryInstance,35.48,35.48,0.00,15,727,88,0,0,20,0,20,134,257,0,15,3,31,96,False,0
JQueryInstanceTest46To60,JQueryInstanceTest39,JQueryInstance,35.48,35.48,0.00,15,727,161,0,0,20,0,20,114,510,0,15,7,31,96,False,0
JQueryInstanceTest61To75,JQueryInstanceTest39,JQueryInstance,35.48,35.48,0.00,15,727,97,0,0,20,0,20,134,374,0,15,5,31,96,False,0
JQueryInstanceTest76To90,JQueryInstanceTest39,JQueryInstance,35.48,35.48,0.00,15,727,76,0,0,20,0,20,138,312,0,15,7,31,96,False,0
JQueryInstanceTest91To96,JQueryInstanceTest11,JQueryInstance,35.48,35.48,0.00,6,727,51,0,0,20,0,20,141,106,0,6,3,31,96,False,0
JSDecorationTest16To23,JSDecorationTest43,JSDecoration,33.33,33.33,0.00,8,10,73,0,0,2,0,2,2,42,0,8,2,3,23,False,0
JSDecorationTest1To15,JSDecorationTest78,JSDecoration,33.33,33.33,0.00,15,10,111,0,0,2,0,2,2,85,0,15,4,3,23,False,0
JSScriptTest,JSScriptTest38,JSScript,57.14,57.14,0.00,15,41,92,0,0,3,0,3,1,66,0,15,3,7,15,False,0
JSStreamTest16To18,JSStreamTest11,JSStream,50.00,50.00,0.00,3,189,19,0,0,12,0,12,7,27,0,3,4,24,18,False,0
JSStreamTest1To15,JSStreamTest65,JSStream,50.00,50.00,0.00,15,189,66,0,0,12,0,12,2,147,0,15,4,24,18,False,0
WAAnchorTagTest,WAAnchorTagTest28,WAAnchorTag,66.67,66.67,0.00,8,78,107,0,0,4,0,4,7,23,0,8,3,12,8,False,0
WAApplicationTest1To4,WAApplicationTest83,WAApplication,37.04,66.67,29.63,16,106,77,63,4,17,8,9,8,181,2,16,6,27,4,False,0
WABidirectionalCacheTest,WABidirectionalCacheTest48,WABidirectionalCache,60.00,65.00,5.00,9,63,73,11,1,8,1,7,3,469,1,9,4,20,5,False,0
WABlockMimeDocumentTest,WABlockMimeDocumentTest33,WABlockMimeDocument,75.00,75.00,0.00,6,19,42,0,0,2,0,2,1,37,0,6,1,8,6,False,0
WAComboResponseTest1To3,WAComboResponseTest84,WAComboResponse,42.55,48.94,6.38,28,136,41,21,1,27,3,24,5,748,0,17,3,47,3,True,0
WAComponentTest,WAComponentTest73,WAComponent,51.22,57.32,6.10,15,238,316,47,2,40,5,35,40,599,0,14,6,82,15,False,0
WACookieForBrowserIPForCrawlerTrackingStrategyTest,WACookieForBrowserIPForCrawlerTrackingStrategyTest13,WACookieForBrowserIPForCrawlerTrackingStrategy,43.75,43.75,0.00,2,32,33,0,0,9,0,9,5,4,0,2,2,16,2,False,0
WACookieIfSupportedSessionTrackingStrategyTest,WACookieIfSupportedSessionTrackingStrategyTest73,WACookieIfSupportedSessionTrackingStrategy,0.00,0.00,0.00,14,24,16,0,0,15,0,15,0,56,0,14,5,15,2,False,0
WACookieOnlySessionTrackingStrategyTest,WACookieOnlySessionTrackingStrategyTest68,WACookieOnlySessionTrackingStrategy,0.00,0.00,0.00,13,14,8,0,0,6,0,6,0,45,0,13,4,6,1,False,0
WACookieTest1To15,WACookieTest78,WACookie,50.00,56.06,6.06,15,168,196,43,1,33,4,29,9,394,0,15,3,66,16,False,0
WACurrentRequestContextTest,WACurrentRequestContextTest13,WACurrentRequestContext,0.00,0.00,0.00,2,4,6,0,0,1,0,1,0,3,0,2,1,1,2,False,0
WADispatcherTest,WADispatcherTest73,WADispatcher,36.67,46.67,10.00,14,81,44,41,3,19,3,16,5,186,3,14,3,30,3,False,0
WADocumentHandlerTest,WADocumentHandlerTest63,WADocumentHandler,47.37,73.68,26.32,12,41,12,45,2,10,5,5,1,158,1,12,2,19,1,False,0
WAEnterpriseAuberginesStrategyTest,WAEnterpriseAuberginesStrategyTest73,WAEnterpriseAuberginesStrategy,23.81,23.81,0.00,14,28,24,0,0,16,0,16,0,60,0,14,5,21,3,False,0
WAErrorHandlerTest,WAErrorHandlerTest58,WAErrorHandler,38.46,38.46,0.00,11,18,30,0,0,8,0,8,0,73,0,11,3,13,4,False,0
WAFileHandlerTest1To5,WAFileHandlerTest83,WAFileHandler,65.38,73.08,7.69,16,62,67,12,1,9,2,7,1,329,1,16,7,26,5,False,0
WAFileLibraryTest16To17,WAFileLibraryTest13,WAFileLibrary,57.58,57.58,0.00,2,123,22,0,0,14,0,14,7,20,0,2,1,33,17,False,0
WAFileLibraryTest1To15,WAFileLibraryTest78,WAFileLibrary,57.58,57.58,0.00,15,123,193,0,0,14,0,14,7,179,0,15,12,33,17,False,0
WAFileMetadataLibraryTest,WAFileMetadataLibraryTest68,WAFileMetadataLibrary,46.34,46.34,0.00,13,178,145,0,0,22,0,22,12,112,0,13,40,41,13,False,0
WAFileTest,WAFileTest33,WAFile,89.47,92.11,2.63,6,38,47,16,1,4,1,3,0,18,1,6,2,38,6,False,0
WAFormTagTest,WAFormTagTest26,WAFormTag,91.67,91.67,0.00,5,39,50,0,0,2,0,2,0,13,0,5,4,24,5,False,0
WAHeaderFieldsTest1To5,WAHeaderFieldsTest173,WAHeaderFields,83.33,94.44,11.11,35,10,70,21,1,3,2,1,0,692,2,35,5,18,5,False,0
WAHtmlAttributesTest,WAHtmlAttributesTest40,WAHtmlAttributes,94.74,94.74,0.00,8,40,83,0,0,1,0,1,1,55,0,8,5,19,8,False,0
WAHttpVersionTest,WAHttpVersionTest73,WAHttpVersion,86.21,93.10,6.90,14,73,124,69,4,12,6,6,0,33,2,14,1,87,14,False,0
WAIPSessionTrackingStrategyTest,WAIPSessionTrackingStrategyTest33,WAIPSessionTrackingStrategy,50.00,50.00,0.00,6,6,10,0,0,1,0,1,0,12,0,6,4,2,0,False,0
WAKeyGeneratorTest,WAKeyGeneratorTest8,WAKeyGenerator,66.67,66.67,0.00,1,40,11,0,0,1,0,1,4,12,0,1,10,3,1,False,0
WALegacyRedirectionHandlerTest,WALegacyRedirectionHandlerTest8,WALegacyRedirectionHandler,0.00,0.00,0.00,1,12,18,0,0,1,0,1,0,1,0,1,1,1,1,False,0
WALocaleTest,WALocaleTest38,WALocale,78.38,78.38,0.00,7,153,59,0,0,8,0,8,1,20,0,7,1,37,7,False,0
WAMergedRequestFieldsTest1To15,WAMergedRequestFieldsTest78,WAMergedRequestFields,96.77,100.00,3.23,15,56,141,12,1,1,1,0,0,63,3,15,3,31,16,False,0
WAMimeDocumentTest,WAMimeDocumentTest33,WAMimeDocument,18.75,21.88,3.12,6,51,40,13,1,26,1,25,0,58,0,6,2,32,6,False,0
WAMimeTypeTest,WAMimeTypeTest63,WAMimeType,77.17,81.89,4.72,12,223,112,0,0,29,6,23,2,47,0,12,2,127,12,False,0
WAMutexTest,WAMutexTest28,WAMutex,88.89,88.89,0.00,6,23,101,0,0,1,0,1,0,313,0,5,3,9,6,False,0
WAObjectTest,WAObjectTest13,WAObject,50.00,50.00,0.00,2,13,11,0,0,2,0,2,0,4,0,2,1,4,2,False,0
WAPharoEncoderTest,WAPharoEncoderTest70,WAPharoEncoder,66.67,72.46,5.80,14,78,54,33,1,23,4,19,12,96,1,14,3,69,5,False,0
WARegistryTest,WARegistryTest68,WARegistry,44.00,52.00,8.00,13,126,46,20,1,14,2,12,11,196,3,13,4,25,2,False,0
WARenderContextTest,WARenderContextTest8,WARenderContext,53.33,53.33,0.00,2,79,26,0,0,14,0,14,10,5,0,2,2,30,2,False,0
WARenderLoopContinuationTest,WARenderLoopContinuationTest8,WARenderLoopContinuation,10.00,10.00,0.00,1,77,11,0,0,18,0,18,5,2,0,1,1,20,1,False,0
WARequestContextTest,WARequestContextTest8,WARequestContext,12.33,34.25,21.92,1,170,15,84,1,64,16,48,6,29,0,1,1,73,1,False,0
WARequestTest,WARequestTest48,WARequest,64.42,75.96,11.54,9,212,91,56,1,37,12,25,11,135,0,9,3,104,9,False,0
WAResponseGeneratorTest,WAResponseGeneratorTest19,WAResponseGenerator,40.00,40.00,0.00,5,100,35,0,0,9,0,9,3,116,0,5,3,15,5,False,0
WAServerManagerTest,WAServerManagerTest18,WAServerManager,54.76,71.43,16.67,3,74,52,28,1,19,7,12,2,25,1,3,1,42,3,False,0
WASessionTest,WASessionTest8,WASession,41.18,50.00,8.82,1,99,54,30,1,20,3,17,7,14,0,1,3,34,1,False,0
WAStreamedResponseTest1To9,WAStreamedResponseTest87,WAStreamedResponse,86.36,86.36,0.00,34,56,82,0,0,3,0,3,1,177,0,34,4,22,9,False,0
WAUnidirectionalCacheTest,WAUnidirectionalCacheTest28,WAUnidirectionalCache,80.00,100.00,20.00,5,31,25,11,1,1,1,0,2,348,1,5,2,5,1,False,0
WAXmlCanvasTest,WAXmlCanvasTest5,WAXmlCanvas,33.33,33.33,0.00,1,25,12,0,0,2,0,2,1,1,0,1,1,3,1,False,0
