className,amplifiedClass,targets,mutationScoreBefore,mutationScoreAfter,mutationImprove,numberOfOriginalTestMethods,targetLoc,testLoc,testAmpLoc,n_amplifiedMethods,n_notCoveredInOriginal,n_newCovered,n_notCoveredInAmplified,n_methodsNotProfiled,timeTotal,max_number_of_changes,numberOfProcessedMethods,testClassTimeToRunInMillis,numberOfAllMutationsInOriginal,numberOfTestMethodsBeforeShreding,timeBudgetFinished,duplicateMutants
ZnBase64EncoderTest,ZnBase64EncoderTest64,ZnBase64Encoder,79.03,79.03,0.00,10,204,139,0,0,26,0,26,0,116,0,10,2,124,10,False,0
ZnBivalentWriteStreamTest,ZnBivalentWriteStreamTest16,ZnBivalentWriteStream,44.44,44.44,0.00,2,51,21,0,0,10,0,10,1,4,0,2,1,18,2,False,0
ZnBufferedReadWriteStreamTest,ZnBufferedReadWriteStreamTest58,ZnBufferedReadWriteStream,60.71,92.86,32.14,11,104,114,46,1,11,9,2,2,169,1,11,2,28,11,False,0
ZnBufferedWriteStreamTest,ZnBufferedWriteStreamTest22,ZnBufferedWriteStream,34.25,34.25,0.00,3,167,27,0,0,48,0,48,16,189,0,3,1,73,3,False,0
ZnCRLFReadStreamTest,ZnCRLFReadStreamTest21,ZnCRLFReadStream,51.06,51.06,0.00,3,75,82,0,0,23,0,23,3,12,0,3,1,47,3,False,0
ZnDigestAuthenticatorTest,ZnDigestAuthenticatorTest16,ZnDigestAuthenticator,21.05,21.05,0.00,2,94,36,0,0,30,0,30,4,9,0,2,2,38,2,False,0
ZnEasyTest,ZnEasyTest36,ZnEasy,60.00,60.00,0.00,9,182,111,0,0,6,0,6,6,737,0,4,2307,15,10,True,0
ZnEntityReaderTest,ZnEntityReaderTest22,ZnEntityReader,52.22,61.11,8.89,4,75,52,87,4,43,8,35,0,132,2,4,3,90,4,False,0
ZnEntityWriterTest,ZnEntityWriterTest28,ZnEntityWriter,60.61,69.70,9.09,4,40,71,43,1,13,3,10,0,222,1,4,225,33,4,False,0
ZnFastLineReaderTest,ZnFastLineReaderTest16,ZnFastLineReader,90.00,90.00,0.00,2,46,41,0,0,2,0,2,1,27,0,2,1,20,2,False,0
ZnHeadersTest,ZnHeadersTest58,ZnHeaders,23.44,51.56,28.12,9,251,82,170,5,98,36,62,15,110,1,9,2,128,9,False,0
ZnHtmlOutputStreamTest,ZnHtmlOutputStreamTest88,ZnHtmlOutputStream,75.00,75.00,0.00,14,212,80,0,0,6,0,6,5,27,0,14,1,24,14,False,0
ZnImageExampleDelegateTest,ZnImageExampleDelegateTest13,ZnImageExampleDelegate,58.14,58.14,0.00,3,77,51,0,0,18,0,18,1,799,0,1,1658,43,3,True,0
ZnLimitedReadStreamTest,ZnLimitedReadStreamTest59,ZnLimitedReadStream,58.90,69.86,10.96,10,124,71,82,4,30,8,22,4,191,3,10,2,73,10,False,0
ZnLineReaderTest,ZnLineReaderTest28,ZnLineReader,65.00,70.00,5.00,4,48,24,0,0,14,2,12,0,21,0,4,2,40,4,False,0
ZnMessageBenchmarkTest,ZnMessageBenchmarkTest16,ZnMessageBenchmark,80.00,80.00,0.00,2,156,20,0,0,6,0,6,3,140,0,2,450,30,2,False,0
ZnMimeTypeTest,ZnMimeTypeTest76,ZnMimeType,53.46,66.04,12.58,12,374,100,102,4,74,20,54,4,152,1,12,4,159,12,False,0
ZnMultiValueDictionaryTest,ZnMultiValueDictionaryTest28,ZnMultiValueDictionary,60.53,73.68,13.16,4,62,38,43,2,15,5,10,3,16,2,4,2,38,4,False,0
ZnNewLineWriterStreamTest,ZnNewLineWriterStreamTest16,ZnNewLineWriterStream,86.36,86.36,0.00,2,41,24,0,0,3,0,3,0,4,0,2,2,22,2,False,0
ZnPercentEncoderTest,ZnPercentEncoderTest46,ZnPercentEncoder,93.33,95.56,2.22,7,88,48,0,0,3,1,2,2,53,0,7,2,45,7,False,0
ZnPositionableReadStreamTest,ZnPositionableReadStreamTest77,ZnPositionableReadStream,76.39,83.33,6.94,14,157,168,42,2,17,5,12,2,261,2,14,11,72,14,False,0
ZnReadEvalPrintDelegateTest,ZnReadEvalPrintDelegateTest10,ZnReadEvalPrintDelegate,47.22,47.22,0.00,1,54,24,0,0,19,0,19,3,42,0,1,32,36,1,False,0
ZnRequestLineTest,ZnRequestLineTest28,ZnRequestLine,20.29,26.09,5.80,4,102,20,19,1,55,4,51,3,16,0,4,1,69,4,False,0
ZnRequestTest,ZnRequestTest46,ZnRequest,39.29,53.57,14.29,7,178,93,40,1,51,12,39,11,159,0,7,4,84,7,False,0
ZnResourceMetaUtilsTest,ZnResourceMetaUtilsTest22,ZnResourceMetaUtils,57.14,57.14,0.00,3,112,18,0,0,6,0,6,0,6,0,3,2,14,3,False,0
